"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"AK1",7,14,13,10,20,80,22,15,99,11,81,19,49,2,0,2
"AK2",8682,11351,18852,10711,5953,8479,5187,3210,5572,1954,7173,2777,3821,403,431,190
"AK3",4240,5655,11123,4199,2196,3243,2385,1233,2894,967,3515,1152,2051,148,161,85
"AK4",175,143,344,138,40,110,32,25,324,80,315,97,366,6,4,1
"AK5",93,138,293,131,4527,4834,4968,2079,186,39,404,46,83,116,97,38
"AK6",973,1414,3138,1213,815,921,570,366,791,294,1198,360,625,32,30,9
"AK8",28,23,72,33,15,1,13,4,31,6,29,14,24,8,2,0
"AK9",1337,1562,2846,1024,1126,1425,890,757,1183,353,1418,371,1107,43,34,18
"AKAP1",1130,1655,3201,1716,1593,2359,1505,1358,1561,473,1773,623,1202,81,101,58
"AKAP1-DT",63,97,235,112,66,107,80,47,91,29,70,31,21,5,0,1
"AKAP10",2269,2914,6008,2263,3626,4211,3551,2576,3169,946,3400,849,2526,179,217,98
"AKAP11",7543,9006,19930,7413,8559,9816,8714,6142,8659,2492,8874,2438,8162,270,474,179
"AKAP12",72,272,104,85,491,86,456,93,176,63,197,179,152,2,4,1
"AKAP13",9351,18847,30594,18146,25146,31604,27085,22226,24692,6905,23583,5765,18691,2193,2531,1208
"AKAP17A",1418,3522,4789,3468,3617,8009,4280,4086,5471,1764,5355,1455,3747,343,316,211
"AKAP3",33,49,154,73,25,84,69,34,62,7,60,22,37,2,8,1
"AKAP5",171,511,430,307,67,211,143,57,990,127,507,168,387,79,67,54
"AKAP6",252,300,706,290,271,261,230,174,251,45,211,46,195,9,7,0
"AKAP7",1115,1433,3358,977,1622,2019,1909,577,1079,350,2337,440,856,75,92,46
"AKAP8",1387,2904,3781,2379,2861,4910,3102,2940,2508,655,2509,766,1748,197,177,122
"AKAP8L",1815,3683,4594,3425,3413,5263,3387,2896,5455,1511,5384,1344,3432,293,228,119
"AKAP9",3791,8093,10465,6758,9790,15386,12073,12259,15794,5043,18540,5049,13649,560,599,305
"AKIP1",606,818,1602,716,274,471,277,155,371,147,495,169,221,22,21,15
"AKIRIN1",6006,9219,13281,6737,7289,9012,7124,3895,5598,1784,7737,1930,3620,390,425,206
