"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"PC",219,609,643,507,234,308,166,113,249,64,259,96,185,25,21,15
"PCAT1",7,33,33,12,79,55,49,99,23,10,24,7,35,4,2,0
"PCAT18",181,164,655,147,6,0,3,2,38,27,38,24,31,0,0,0
"PCBD1",204,285,589,370,99,181,136,50,113,56,159,69,90,11,20,8
"PCBD2",707,1038,1740,1054,849,1179,797,652,501,144,572,195,440,31,28,18
"PCBP1",3278,5166,10086,6041,5344,6861,6035,3479,4923,1678,5401,1673,4247,646,753,215
"PCBP1-AS1",2073,2189,3950,2008,1781,2157,1316,1577,1822,514,1775,506,1760,97,54,42
"PCBP2",9741,11565,20858,10328,6890,8881,6478,6378,5895,1767,6515,1884,5833,378,355,263
"PCBP3",662,1398,2376,1544,272,250,246,232,1125,356,1338,249,762,8,2,1
"PCBP4",77,164,186,96,154,213,240,100,569,164,518,163,388,5,16,8
"PCCA",573,725,1467,636,372,508,402,455,751,212,772,225,694,45,36,25
"PCCA-DT",58,83,132,82,31,22,28,15,52,18,66,20,28,5,4,1
"PCCB",2740,3463,6337,2968,1229,1926,1125,844,1556,523,1675,791,1086,100,102,60
"PCDH10",1289,1234,4138,2513,4,1,4,15,306,160,504,497,244,0,0,0
"PCDH10-DT",98,69,222,85,0,0,0,0,16,14,32,25,19,0,0,0
"PCDH15",0,1,2,3,0,0,0,0,56,5,59,13,41,0,1,0
"PCDH18",31,48,66,15,1,1,0,0,49,23,70,72,72,0,0,0
"PCDH7",12,70,19,5,0,0,0,0,60,14,35,35,57,0,0,0
"PCDH9",2225,2348,7960,1379,288,478,738,174,1625,324,1104,507,876,51,447,22
"PCDHB2",94,10,90,14,49,6,14,4,12,6,6,6,5,0,0,0
"PCDHGA6",46,39,92,56,22,12,6,33,66,38,77,25,49,3,0,1
"PCDHGB2",31,30,52,45,22,5,12,16,48,55,50,21,35,0,0,1
"PCDHGB3",46,32,85,53,19,11,6,7,45,30,43,18,25,0,4,1
"PCDHGB5",40,61,95,62,29,33,16,31,37,22,32,8,27,1,0,2
"PCDHGC3",19,23,18,21,3,1,6,6,51,20,24,14,58,0,1,0
"PCED1A",400,538,902,583,860,949,528,529,1679,384,1599,336,1206,75,54,28
"PCED1B",186,219,329,109,2997,2953,2432,1309,684,217,737,136,620,96,114,87
"PCED1B-AS1",797,1180,1359,751,10906,10672,7627,5092,2107,714,2975,715,1651,388,319,204
"PCF11",8138,10897,27339,9331,13763,13277,15017,8451,15158,4192,17044,3849,11057,549,827,342
"PCF11-AS1",24,19,29,33,101,38,44,41,23,6,25,3,28,2,0,1
"PCGF1",817,914,1894,927,424,666,418,289,510,138,579,170,330,48,48,14
"PCGF3",2143,2569,6131,2402,1159,2221,1162,1566,4240,1072,4310,974,2124,91,92,41
"PCGF5",17830,18509,57819,19632,15917,15915,16884,8724,7356,2703,9908,3344,5187,519,804,333
"PCGF6",917,1089,2207,812,677,870,634,343,501,172,653,203,360,36,39,13
"PCID2",2608,2708,6199,2311,2315,4334,2219,1850,2172,559,2194,780,1429,161,122,74
"PCIF1",1357,2387,3067,1860,2267,2580,1986,1872,1665,323,1247,369,1243,160,125,101
"PCK2",419,711,983,421,335,661,411,201,489,137,395,185,324,48,91,12
"PCLAF",4178,4671,7283,5621,211,1235,251,190,664,331,1298,546,478,22,8,15
"PCLO",17,10,10,5,1,15,0,2,111,20,68,9,96,0,0,0
"PCM1",14063,22169,45259,20568,15348,20210,14658,15882,24909,8848,31164,8191,20732,798,815,541
"PCMT1",4867,4736,11884,4483,2546,2708,2430,1146,2619,954,3460,1072,1644,156,220,95
"PCMTD1",10731,10781,29656,9083,12143,10710,11268,5560,8915,3169,12219,2896,6266,404,709,247
"PCMTD1-DT",326,416,887,388,284,284,222,203,178,85,192,71,96,13,24,16
"PCMTD2",8661,10939,19111,7180,15362,21466,12619,12529,7103,2061,9661,2414,5719,529,372,189
"PCNA",19708,19621,40274,19723,2003,5670,1812,1188,4251,1895,7347,3394,2766,266,131,151
"PCNP",9531,12171,19770,10678,11791,14070,10597,7019,6325,2120,8561,2525,4925,431,469,262
"PCNPP1",32,81,69,76,135,87,71,85,42,8,47,11,42,6,2,4
"PCNT",1603,6108,4763,5984,4361,8285,4738,4254,8394,2379,8995,2249,5997,870,334,527
"PCNX1",6216,8031,20610,7838,8912,9765,10014,9301,9566,2767,9186,2771,9019,445,577,404
"PCNX2",2887,3744,6664,2274,2721,2742,3357,1865,3567,680,3418,600,2804,90,98,61
"PCNX3",1115,2279,3818,2215,1596,2565,1963,1842,2835,611,2163,478,2078,214,195,98
"PCNX4",4709,5655,15429,5066,2655,3949,2975,2125,5846,1559,6023,1943,5060,204,217,104
"PCOLCE",10,41,16,8,9,18,13,9,99,30,101,40,74,1,2,1
"PCP2",13,15,17,12,33,51,18,28,67,10,56,15,46,5,2,0
"PCSK1N",3,0,7,2,5,0,0,4,44,11,53,6,25,0,0,1
"PCSK4",54,87,159,113,28,81,18,34,308,92,277,61,174,10,0,1
"PCSK5",1554,2245,4436,1644,3030,4559,2951,2847,2595,850,2446,796,2794,148,90,68
"PCSK6",83,101,193,99,9,8,14,7,304,90,200,116,357,33,9,27
"PCSK7",1740,3793,5014,3055,4490,8875,5261,6207,5922,1274,5074,1258,4425,382,347,177
"PCTP",403,549,1379,478,193,353,254,120,481,143,477,183,276,61,61,18
"PCYOX1",1356,1291,4661,1585,1190,1078,1534,666,1569,438,1407,471,1068,66,110,38
"PCYOX1L",393,634,1213,584,1038,1509,837,910,1127,296,1112,330,639,57,76,17
"PCYT1A",1393,1585,4573,1552,1220,1926,1373,839,1825,515,1833,527,1385,121,188,65
"PCYT1B",165,240,838,283,37,83,3,7,85,29,136,60,58,23,4,14
"PCYT2",550,1084,1609,750,627,1076,681,434,904,252,913,245,566,84,60,20
"PDAP1",2274,5735,6753,5310,3331,4912,3432,2108,3688,1048,3719,1348,2275,218,243,98
"PDC-AS1",32,46,87,27,31,44,21,46,18,13,34,17,32,0,3,2
"PDCD1",255,460,912,340,130,138,171,74,1152,296,785,345,638,13,23,16
"PDCD10",3573,3530,9260,2718,2912,4091,2900,1778,2896,922,3536,1114,1872,160,202,83
"PDCD11",3009,5773,9793,5704,3540,5906,3606,2780,5334,1582,5372,1683,3497,279,289,129
"PDCD1LG2",70,76,155,58,8,4,26,2,61,14,42,5,57,1,4,3
"PDCD2",6449,7857,15411,6486,6583,6660,5558,3100,3766,1050,4862,1518,2326,229,252,173
"PDCD2L",262,391,554,235,348,565,266,213,212,75,258,69,126,19,9,3
"PDCD4",13410,20705,45899,17616,35948,39719,32726,32586,23411,5545,24322,6285,15210,881,1103,606
"PDCD4-AS1",193,291,548,306,553,462,474,211,435,123,497,94,262,19,30,8
"PDCD5",1846,2697,4417,2087,1476,2297,1425,863,1421,528,1889,638,899,53,65,27
"PDCD6",3198,3978,8123,3424,1998,3431,2183,1765,3354,1060,3793,1139,2036,189,242,83
"PDCD6IP",6896,8862,18782,7798,6905,9313,7024,4182,7015,1926,7962,2318,5533,414,523,181
"PDCD6IP-DT",16,30,122,8,14,12,16,2,21,2,15,2,10,3,0,1
"PDCD6IPP2",459,570,1327,537,189,250,144,91,89,55,260,46,120,5,5,3
"PDCD6P1",308,532,859,406,336,488,405,323,695,97,781,148,557,29,22,11
"PDCD7",1770,2457,5769,2003,2155,2534,1999,937,2060,598,2351,629,1365,118,119,53
"PDCL",2838,3821,7647,3624,2043,3059,1947,1113,2265,751,2848,923,1353,101,123,100
"PDCL3",1094,1996,3218,1901,1584,2277,1425,829,974,317,1274,497,654,73,85,35
"PDCL3P4",10,30,16,24,46,42,21,31,98,27,93,14,109,0,0,2
"PDE10A",25,32,49,13,1,2,0,0,66,17,48,20,93,0,0,0
"PDE11A",3,6,23,6,5,7,2,2,63,6,40,8,36,0,0,0
"PDE12",4120,5182,10163,4954,4971,4737,4805,3115,3235,810,3436,910,2222,236,266,126
"PDE1A",32,33,28,5,1,38,3,2,49,24,39,39,56,0,0,0
"PDE1B",158,151,380,312,189,245,234,280,211,40,205,48,181,13,10,5
"PDE1C",70,63,94,23,3,8,0,1,144,25,113,40,133,2,0,0
"PDE2A",4,13,13,10,11,14,32,36,76,11,37,13,65,7,4,3
"PDE2A-AS2",2,2,10,3,13,11,24,1,4,0,8,0,3,0,1,0
"PDE3A",7,20,31,1,5,11,0,6,35,9,40,14,33,10,4,15
"PDE3B",3932,8321,9300,4494,13918,17800,12580,10797,23748,4375,25593,4931,21149,787,739,538
"PDE4A",34,79,50,59,48,100,60,39,195,44,78,27,112,43,23,17
"PDE4B",5376,5413,7870,6858,23567,13919,9964,4975,3002,683,3705,975,1777,482,1243,697
"PDE4D",22017,36514,32819,20510,32538,48610,18881,23201,28331,4373,24745,7072,17789,1209,411,1164
"PDE4DIP",1758,2437,5679,1807,4169,5510,5571,2608,4434,1027,5333,939,2803,209,208,84
"PDE4DIPP2",229,403,896,250,784,1541,1600,996,1158,256,1729,310,790,36,31,32
"PDE4DIPP6",56,65,151,69,152,182,141,61,163,63,151,35,106,4,5,2
"PDE5A",44,51,134,43,62,39,34,10,144,32,198,71,132,101,47,142
"PDE6B",892,1019,1753,980,690,926,534,391,708,210,746,242,430,40,30,19
"PDE6B-AS1",0,1,6,5,4,5,1,13,23,7,23,11,61,1,0,1
"PDE6D",1637,1617,3739,1727,1083,1265,1080,543,1300,422,1649,551,876,69,100,25
"PDE6G",147,263,240,207,154,298,65,109,143,76,135,70,111,41,12,11
"PDE7A",14752,15396,47740,13223,13070,16009,11984,11191,23945,7898,25789,7513,18857,511,683,282
"PDE7A-DT",68,54,121,52,34,21,9,0,45,5,30,6,12,1,2,0
"PDE7B",1123,2369,2345,984,686,813,555,482,1789,238,1430,370,997,15,34,6
"PDE8A",448,607,1148,462,720,798,892,680,697,154,541,169,643,38,83,20
"PDE8B",41,122,145,49,10,12,10,11,44,5,43,6,13,1,4,0
"PDE9A",574,828,1471,1042,830,1000,663,832,1215,331,1050,335,821,18,14,7
"PDF",53,91,74,66,50,46,48,31,31,6,25,19,24,4,1,2
"PDGFA",142,238,353,171,34,56,19,18,193,40,225,79,105,43,13,12
"PDGFB",7,41,48,28,46,49,83,32,50,12,52,7,16,8,11,4
"PDGFC",23,52,102,37,37,156,14,45,65,19,69,33,49,19,8,20
"PDGFD",56,141,122,47,48,160,142,76,116,34,110,84,51,93,86,65
"PDGFRA",61,85,111,30,2,1,0,0,110,39,81,102,77,1,0,1
"PDGFRB",43,139,47,38,1,1,1,1,81,45,119,112,100,33,10,28
"PDHA1",2442,3491,7383,3244,1566,2535,1528,1045,2720,912,3202,1083,1714,116,126,53
"PDHB",4387,5816,13501,4221,3531,4265,2963,1897,2860,961,3299,1188,1715,167,189,97
"PDHX",1917,2365,4782,1623,2486,2670,2134,989,1696,529,1981,590,1133,104,112,47
"PDIA3",12259,21891,29130,17542,13977,17316,14071,7786,12055,4200,16530,5378,8061,1245,1214,675
"PDIA3P1",125,215,299,173,172,205,222,120,200,57,196,54,102,2,11,4
"PDIA4",7913,12372,20712,10094,5451,7239,6342,3236,7926,2761,8848,2860,5225,442,454,188
"PDIA5",323,536,903,500,300,575,259,239,307,111,405,135,241,28,21,4
"PDIA6",9534,13389,24515,12807,4598,7237,5763,2902,5518,1948,7703,2830,3620,521,573,238
"PDIK1L",2627,3555,7660,3135,2070,2380,1827,1316,1798,667,2482,745,1254,55,74,31
"PDK1",3135,3883,6885,2962,8265,10240,7476,8139,2973,788,3448,1033,3278,191,147,138
"PDK2",537,1027,1309,739,1321,1517,937,583,720,273,745,244,528,85,94,36
"PDK3",944,1204,2673,1346,1180,1324,1269,941,1020,325,1201,321,755,85,88,44
"PDK4",57,37,63,24,0,0,17,4,64,46,127,34,128,8,38,3
"PDLIM1",399,729,808,726,120,167,309,132,567,216,952,377,1360,61,181,48
"PDLIM2",284,628,888,465,548,986,588,447,969,248,798,185,697,85,82,34
"PDLIM3",2,25,35,14,0,1,1,0,43,11,61,15,107,0,0,0
"PDLIM4",23,18,20,16,0,0,0,0,78,26,69,21,64,0,0,0
"PDLIM5",1912,2442,5577,2050,2935,2742,3137,1384,1954,475,1954,600,1531,184,227,67
"PDLIM7",62,131,115,132,71,144,102,52,200,74,203,86,144,35,18,21
"PDP1",3260,3222,7354,2859,6830,5044,4782,2230,2634,785,3333,877,1675,226,264,110
"PDP2",337,434,986,435,349,383,361,297,488,175,596,191,447,32,23,20
"PDPK1",1918,2713,5210,2727,2670,3648,3239,2171,3481,857,3120,808,2447,237,265,121
"PDPK2P",31,36,115,42,38,36,50,99,40,7,17,2,23,1,1,1
"PDPN",17,18,26,11,0,0,0,0,64,19,34,11,54,0,0,0
"PDPR",1898,3450,7653,2632,2729,3845,3758,1837,3305,742,2170,1003,2851,200,230,148
"PDPR2P",539,706,1378,593,760,810,706,573,763,181,730,216,648,28,42,23
"PDRG1",459,805,1399,916,586,919,517,379,367,90,367,106,251,28,47,21
"PDS5A",19824,27874,49980,26169,21371,25389,22403,15405,17874,5794,21276,6498,13726,904,1037,502
"PDS5B",6952,6831,18434,6221,4389,5565,5151,4600,5730,1721,6797,2209,5749,198,292,133
"PDSS1",951,1109,2309,1190,268,474,253,453,402,118,454,231,376,19,8,10
"PDSS2",1119,1359,2625,1108,1355,1484,993,754,971,324,1155,273,692,74,74,30
"PDXDC1",2682,3956,8632,3475,3426,4690,3665,3417,4347,1291,4006,1205,2645,225,257,133
"PDXDC2P",125,115,243,110,136,117,132,116,66,12,41,10,58,7,1,4
"PDXK",672,1127,1505,916,2278,1989,1863,1265,994,237,995,204,983,178,234,92
"PDZD11",881,965,2155,932,454,611,475,192,500,184,636,227,341,30,47,10
"PDZD2",42,17,37,28,96,189,207,126,130,49,83,30,190,3,0,1
"PDZD4",47,93,39,58,403,547,471,239,65,30,116,21,79,54,32,42
"PDZD8",4407,7972,12108,7370,7201,6940,6922,5107,4445,1346,5422,1446,3674,355,362,438
"PDZRN3",15,14,35,13,0,0,0,0,64,15,55,24,55,0,0,0
"PEA15",830,1135,1568,993,962,1145,1204,485,899,257,978,295,733,159,252,73
"PEAK1",1195,1926,2589,1520,1675,1750,1430,1234,2964,672,3050,698,2975,135,144,112
"PEAR1",0,1,0,2,1,51,0,7,23,2,15,8,20,13,7,11
"PEBP1",10173,12914,23157,12708,6148,7857,5940,3284,7009,2374,8242,3179,3452,315,408,175
"PECAM1",6114,7756,17420,10265,3918,3711,4162,2086,13280,3807,12490,3325,10644,1228,1369,374
"PECR",550,493,1000,374,1253,1499,1199,634,443,118,469,166,254,58,43,21
"PEDS1",550,1245,1659,1233,1455,1808,1484,879,1345,399,1335,420,862,137,120,56
"PEF1",2360,2603,5858,2252,2372,3103,1913,1324,1930,581,2086,628,1273,166,159,61
"PEG10",156,302,246,193,23,12,42,4,438,103,367,235,426,7,21,2
"PEG3",88,188,341,245,113,178,46,141,80,24,143,24,62,4,6,0
"PELI1",4787,7350,8462,5311,5988,10479,5568,7284,3041,710,3057,866,2228,233,154,152
"PELI2",4479,6328,18846,6717,2907,3218,2444,1873,2912,1079,3540,1214,2368,196,159,84
"PELI3",69,161,279,112,275,263,285,151,89,12,90,28,63,21,26,8
"PELO",1090,1434,3229,1232,782,976,557,601,1075,340,1041,346,699,49,35,34
"PELP1",876,2189,3122,2027,1128,2023,1253,963,1832,438,1499,475,1192,99,99,40
"PEMT",286,485,631,455,228,382,238,192,408,132,429,167,430,34,22,18
"PEPD",1408,1774,3095,1451,1307,1895,1284,903,994,356,1079,436,652,132,150,47
"PER1",1526,2904,3391,3092,6469,9824,6388,7302,2533,284,2055,323,2438,626,290,556
"PER2",811,1629,2313,1482,1581,1822,1165,1168,1322,311,1198,367,996,108,65,71
"PER3",225,165,1310,110,437,307,889,95,537,195,548,234,268,11,47,10
"PERP",154,234,377,162,73,348,175,58,332,98,358,72,305,2,7,2
"PES1",2702,3928,6942,3303,2115,3534,1871,1526,2163,789,2598,967,1333,162,159,69
"PET100",955,1201,1648,949,906,1164,942,714,354,70,388,86,230,22,16,13
"PET117",192,376,406,281,390,330,305,188,143,47,190,59,77,8,16,4
"PEX1",3183,3441,8181,2673,2676,3813,2470,1952,2920,870,3649,1041,1918,91,108,67
"PEX10",803,1373,2295,1093,825,1049,664,526,543,176,576,257,346,54,35,15
"PEX11A",174,137,863,231,101,113,122,45,171,70,274,86,128,7,26,9
"PEX11B",809,863,2755,669,716,1111,677,455,832,279,982,295,484,52,80,29
"PEX12",207,202,504,238,253,239,223,144,188,99,218,53,102,8,12,9
"PEX13",2660,3299,6669,3020,1595,2067,1793,1224,1644,584,2462,636,1164,68,145,52
"PEX14",406,711,1051,605,605,855,572,447,660,188,705,198,523,33,42,24
"PEX16",789,1291,2015,972,1407,1446,1166,894,927,191,889,243,559,133,109,55
"PEX19",2256,2974,5704,2489,2874,3081,2605,1374,1794,582,2135,681,1205,133,169,61
"PEX2",3360,3843,7646,2744,2555,3038,2218,1622,2255,795,2836,872,1742,127,112,64
"PEX26",1797,4618,5426,4297,4210,5527,4004,3223,3737,1094,3993,1177,2777,226,207,143
"PEX3",1165,1238,2907,987,957,1249,881,547,969,299,1216,364,669,23,30,16
"PEX5",2834,3575,9121,4633,1139,1782,1153,889,1964,581,2490,698,1315,88,77,51
"PEX5L",353,520,2806,1377,1,0,0,0,258,208,321,123,364,0,0,0
"PEX6",1387,1926,3716,2061,1136,1661,883,975,1948,792,2035,563,1486,133,93,73
"PEX7",264,481,825,363,299,363,309,212,246,41,212,85,160,7,9,2
"PF4",0,0,0,0,79,40,32,17,0,1,2,0,0,242,51,192
"PF4V1",0,0,0,0,11,3,2,2,1,0,0,0,0,22,0,34
"PFAS",2273,2951,6491,4063,809,1716,843,819,1862,556,1772,682,1298,88,144,42
"PFDN1",2966,4078,5851,3195,2953,3917,2492,1626,1751,632,2195,762,1093,164,157,63
"PFDN2",557,758,1435,850,449,907,594,356,563,157,542,173,424,47,41,13
"PFDN4",2184,2651,5718,2288,1573,2381,1471,942,1171,442,1616,504,663,75,61,37
"PFDN5",15633,16218,28515,12779,22996,19894,18018,9729,11828,4747,16687,3956,7285,1230,1537,596
"PFDN6",977,1495,2685,1664,693,1241,842,451,1051,396,1294,481,759,40,55,15
"PFKFB2",8329,13707,13284,15793,732,1338,1059,705,1147,437,1548,1044,1200,84,123,33
"PFKFB3",3048,3520,5265,5799,3427,4004,2550,2902,3810,531,2321,604,1681,265,209,223
"PFKFB4",69,102,170,82,77,134,70,58,126,22,119,25,57,55,45,4
"PFKL",2916,5748,7975,5256,3920,7220,3514,3402,2729,1046,3501,1138,2246,460,596,151
"PFKM",1293,1569,3429,1651,537,810,458,395,572,230,810,252,392,29,40,16
"PFKP",2638,3660,7073,4026,2034,2827,2188,1551,4735,1024,4022,1491,2395,154,217,104
"PFN1",20759,37082,48901,30452,32455,46907,32613,16058,25531,9792,29404,9913,13737,3406,2924,1332
"PFN2",375,341,680,239,310,153,263,132,421,148,549,144,511,2,10,2
"PGAM1",9360,10929,20434,10441,4750,7107,5290,2658,3836,1405,5009,1794,2264,528,611,255
"PGAM1P6",24,33,43,31,33,14,25,60,12,2,26,3,24,1,0,1
"PGAM2",74,61,144,45,11,15,8,9,154,92,285,77,286,0,2,0
"PGAM5",2399,4088,5696,3785,2191,2857,1917,1382,1575,594,2166,700,952,123,129,63
"PGAP1",1084,924,2781,1079,807,776,1136,1041,1012,265,1254,369,994,20,22,15
"PGAP2",532,953,1666,1070,624,955,598,522,739,198,697,249,589,50,39,19
"PGAP3",409,586,1116,449,503,773,536,456,553,133,697,169,384,44,51,20
"PGAP6",554,1082,1865,1060,2029,2834,2117,2229,1531,329,1188,406,839,199,243,115
"PGBD1",404,372,867,390,97,177,111,77,208,96,315,118,197,6,2,1
"PGBD2",192,172,798,217,172,226,292,103,392,117,521,124,287,23,46,10
"PGBD4",706,788,1259,581,843,717,740,362,598,124,655,200,352,40,38,16
"PGBD4P1",514,344,1351,418,27,18,22,7,54,33,199,146,72,1,0,0
"PGBD5",18,13,15,8,0,0,0,0,71,10,49,22,97,0,0,0
"PGD",3717,5449,9290,6121,1642,2420,1519,833,2465,883,2588,1011,1742,479,402,107
"PGGHG",1105,4427,3052,2612,2876,12622,1616,5089,30024,3964,17139,4704,25893,307,109,135
"PGGT1B",3302,4965,9029,4209,5608,5760,4671,3490,3701,1022,4453,1242,2714,188,253,134
"PGK1",34838,43062,71487,38162,19093,27805,17823,10736,17926,6100,24282,9032,10538,1667,1773,706
"PGLS",1498,2111,3883,1939,1908,1861,1363,919,1282,428,1444,460,771,195,253,58
"PGLS-DT",108,262,389,194,121,177,124,87,157,21,155,35,86,5,3,4
"PGLYRP2",20,33,45,32,21,21,12,2,82,22,47,9,36,2,0,1
"PGM1",1953,2765,5015,2344,1257,1783,1208,810,1591,493,1843,601,946,133,136,56
"PGM2",4550,4841,11756,4986,1930,3429,1937,1237,2958,978,3702,1346,1930,188,160,61
"PGM2L1",5280,6260,16638,5702,4338,4990,3690,3702,3031,867,3284,1489,2119,100,170,54
"PGM3",973,1066,3230,1024,1061,1155,1065,1056,997,269,1202,301,853,35,39,23
"PGP",770,1171,1758,939,621,903,745,424,828,212,885,246,575,59,63,29
"PGPEP1",977,2123,2688,2425,2119,2163,1742,1385,2496,628,2466,703,1548,141,102,72
"PGRMC1",2931,3593,5783,3097,1267,1708,1164,798,1153,372,1534,586,638,153,95,104
"PGRMC2",1685,2071,4041,2093,3148,2371,3335,1964,1689,350,1896,511,1438,91,118,96
"PGS1",1041,1519,2722,1275,1721,2402,1571,1451,1724,341,1553,376,1264,100,116,61
"PHACTR1",236,364,488,467,47,169,450,147,249,46,182,39,178,76,139,19
"PHACTR2",3026,4993,7675,3515,6696,7032,9289,3617,2424,636,2749,1003,1213,261,372,170
"PHACTR4",600,1072,1720,1463,1025,1489,1621,1116,1741,449,1630,512,1680,90,105,53
"PHAF1",485,775,1545,687,841,959,684,507,702,205,824,240,608,57,71,32
"PHAX",1217,3277,4155,3066,2208,3286,1869,1022,2254,782,3063,932,1481,95,138,64
"PHB",5639,6247,11125,5890,3263,3879,2639,1486,2750,1073,3305,1295,1465,222,278,111
"PHB2",10498,12687,23299,11571,8792,11313,7161,4655,5979,2213,7818,2643,3215,633,653,278
"PHC1",1509,4041,3525,3260,1670,2776,1904,1663,5177,977,3509,1242,3840,123,94,49
"PHC1P1",90,121,216,188,83,87,108,94,300,70,180,35,187,4,2,2
"PHC2",3025,4552,7262,4016,2247,3213,1977,1496,2407,599,2175,833,1449,281,198,132
"PHC3",7998,10095,19236,7532,20733,19173,18005,13148,14035,3526,15193,3395,12603,621,722,458
"PHETA1",32,54,128,66,86,106,102,40,56,20,47,21,19,27,54,3
"PHETA2",123,174,451,130,13,74,33,11,95,39,73,54,47,5,5,3
"PHEX",143,285,279,152,163,66,311,139,529,260,684,225,501,6,8,2
"PHF1",773,955,1965,733,2266,3379,2560,2105,1855,330,1703,332,1647,142,155,81
"PHF10",3196,4503,8338,3776,3733,5405,4994,4015,4262,1207,5450,1242,4105,149,222,105
"PHF11",1988,2559,5248,1745,2303,3508,2639,1909,2706,750,3139,911,2228,130,181,55
"PHF12",1400,2249,3337,1945,2766,3834,2975,2381,3491,811,2633,700,3168,160,157,110
"PHF13",548,710,2095,743,353,495,387,174,768,290,903,193,593,28,55,15
"PHF14",5790,7555,17565,6134,4560,5887,3757,3362,6048,1921,7076,2416,4770,175,157,98
"PHF19",1297,2600,3610,2480,1977,4111,2212,1379,1806,481,1670,681,1019,144,104,68
"PHF2",959,3199,2814,2581,2421,4525,3001,2049,3656,911,3064,936,2363,210,232,84
"PHF20",3594,4987,10842,4747,7095,6733,6638,4305,4946,1279,5273,1604,3619,410,538,291
"PHF20L1",6773,8810,20889,7347,7987,9012,6548,7312,10618,3288,12267,3621,8406,322,364,208
"PHF21A",735,1104,1836,934,1280,1741,1571,1350,1693,413,1639,342,1717,83,116,46
"PHF21B",2,1,2,0,0,0,2,0,52,7,34,5,23,0,0,0
"PHF23",913,1034,3813,811,531,717,670,266,1993,776,2438,635,1412,70,129,19
"PHF3",9491,17385,27200,13218,19659,24093,18897,17607,19033,6042,22072,5324,14968,787,943,481
"PHF5A",3018,3530,5939,3028,1610,2240,1334,1065,1300,453,1668,604,760,106,86,55
"PHF5GP",12,20,52,27,16,13,5,30,14,3,11,0,26,0,0,0
"PHF6",7371,7414,17595,6953,2589,4573,2640,1696,3948,1336,4412,1572,2633,135,216,75
"PHF7",526,526,1079,535,150,265,177,123,282,92,293,144,225,13,14,6
"PHF8",1647,2337,5171,2236,1876,2656,2157,1897,2873,806,2614,683,2388,161,183,60
"PHGDH",1839,2800,4306,3657,273,695,342,150,1293,421,1830,558,802,36,38,29
"PHIP",8452,10582,26509,9868,10774,12966,11580,9728,12611,3044,12859,3562,11535,385,545,286
"PHKA1",251,263,803,280,81,77,64,91,279,62,303,122,310,1,2,2
"PHKA1P1",15,31,59,27,18,40,35,59,24,2,34,11,42,1,1,1
"PHKA2",1837,2581,4798,2565,1687,2369,1688,1567,2845,757,2848,795,2220,144,143,72
"PHKB",5447,6814,13246,5257,2995,4355,3046,2559,4688,1255,4640,1553,4213,219,384,101
"PHKG1",14,48,56,40,66,63,40,49,71,19,44,10,51,3,0,2
"PHKG2",525,765,1230,658,552,783,525,371,688,178,781,269,578,62,51,20
"PHLDA1",292,330,508,229,383,266,372,224,358,39,185,84,169,99,50,13
"PHLDA3",61,78,307,178,4,9,10,3,157,38,152,47,94,1,1,0
"PHLDB1",198,251,1206,488,7,28,5,9,188,68,181,63,159,0,0,0
"PHLDB2",210,353,672,169,299,375,227,185,355,103,395,126,329,56,32,29
"PHLDB3",238,329,871,390,747,546,627,538,727,222,753,146,548,25,27,19
"PHLPP1",468,701,1678,923,450,539,395,289,679,143,527,183,543,33,39,17
"PHLPP2",622,890,1782,772,1046,1128,1213,775,994,196,874,230,662,50,111,48
"PHOSPHO2",126,144,355,178,233,173,172,152,144,34,207,75,144,5,5,3
"PHPT1",979,1120,1713,951,556,806,516,368,620,181,686,244,377,57,56,22
"PHRF1",1039,2620,4016,2330,2568,3654,2359,2533,4997,1296,4323,1099,3346,265,242,144
"PHTF1",321,391,1091,424,251,471,465,307,405,135,487,161,320,36,52,22
"PHTF2",1762,2053,3667,1545,2028,2912,2278,1999,1219,387,1551,469,1262,78,135,45
"PHYH",424,443,763,495,393,572,341,234,294,97,340,97,211,29,26,16
"PHYHD1",27,117,159,83,27,148,26,31,83,33,106,23,88,4,3,3
"PHYKPL",1692,3099,4933,2417,2689,3712,2448,2473,3933,883,3316,879,3405,198,150,84
"PI15",10,61,12,2,0,44,0,13,35,149,47,22,20,3,0,0
"PI16",75,123,173,60,173,292,246,87,47,10,27,10,22,9,15,1
"PI3",1,25,25,54,0,0,2,0,184,38,257,22,136,0,1,0
"PI4K2A",491,731,1236,621,707,1004,553,611,637,199,582,156,385,88,56,36
"PI4K2B",1733,2251,4320,2001,901,1432,997,695,886,281,1179,409,686,48,63,29
"PI4KA",4605,9501,13724,9725,5008,8075,5897,5584,8537,876,6344,1923,7441,557,514,237
"PI4KAP1",306,184,487,216,404,400,307,369,165,32,564,36,585,10,12,0
"PI4KAP2",436,374,712,623,711,654,418,906,827,135,776,156,878,29,19,12
"PI4KB",2489,3754,7327,3718,2699,4491,3242,2349,3523,1008,3174,899,2503,300,395,148
