Country,Continent,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
USA,North America,104196861,1132935,101322779,1741147,1159832679,334805269
India,Asia,44682784,530740,44150289,1755,915265788,1406631776
France,Europe,39524311,164233,39264546,95532,271490188,65584518
Germany,Europe,37779833,165711,37398100,216022,122332384,83883596
Brazil,South America,36824580,697074,35919372,208134,63776166,215353593
Japan,Asia,32588442,68399,21567425,10952618,92144639,125584838
S. Korea,Asia,30197066,33486,29740877,422703,15804065,51329899
Italy,Europe,25453789,186833,25014986,251970,265478247,60262770
UK,Europe,24274361,204171,24020088,50102,522526476,68497907
Russia,Europe,21958696,395108,21356008,207580,273400000,145805947
Spain,Europe,13731478,118434,13557699,55345,471036328,46719142
Vietnam,Asia,11526508,43186,10612479,870843,85826548,98953541
Australia,Oceania,11295446,18615,11235771,41060,78835048,26068792
Argentina,South America,10037135,130421,9877032,29682,35716069,46010234
Taiwan,Asia,9569611,16356,9129766,423489,30207485,23888595
Netherlands,Europe,8582500,22989,8547771,11740,25984435,17211447
Iran,Asia,7564350,144749,7337549,82052,54420785,86022837
Mexico,North America,7368252,332198,6606633,429421,19356195,131562772
Indonesia,Asia,6730289,160817,6565208,4264,114158919,279134505
Poland,Europe,6380225,118736,5335940,925549,38118630,37739785
Colombia,South America,6356309,142486,6179501,34322,36951507,51512762
Austria,Europe,5780229,21689,5730189,28351,211273524,9066710
Greece,Europe,5708301,35630,5662212,10459,102228365,10316637
Portugal,Europe,5563907,26022,5532366,5519,45915651,10140570
Ukraine,Europe,5370131,111020,5253302,5809,32603805,43192122
Chile,South America,5118981,63812,5051555,3614,48127301,19250195
Malaysia,Asia,5036593,36942,4989861,9790,67665089,33181072
